公司名稱,統編
華懋科技股份有限公司,23492169
桂盟國際股份有限公司,22099483
中磊電子股份有限公司,86690573
崇越科技股份有限公司,23621614
瀚宇博德股份有限公司,23225071
松翰科技股份有限公司,97063584
慧友電子股份有限公司,89639615
建國工程股份有限公司,46298200
隆大營建事業股份有限公司,85898033
工信工程股份有限公司,03028404
遠雄建設事業股份有限公司,04673318
順天建設股份有限公司,22764965
鄉林建設事業股份有限公司,23641822
皇鼎建設開發股份有限公司,23988653
長虹建設股份有限公司,04633597
開曼東明控股股份有限公司,
永固集團股份有限公司,42975165
遠雄自貿港投資控股股份有限公司,86121030
四維航業股份有限公司,12551801
鳳凰國際旅行社股份有限公司,11322915
中租控股股份有限公司,53013980
上海商業儲蓄銀行股份有限公司,03036306
合作金庫金融控股股份有限公司,53021433
台南生活(開曼)股份有限公司,
Grand Ocean RetailGroupLimited,
群益金鼎證券股份有限公司,22956035
群益期貨股份有限公司,97176335
競國實業股份有限公司,36084833
邁達特數位股份有限公司,16428796
鎰勝工業股份有限公司,22304288
瀚宇彩晶股份有限公司,16450500
迎廣科技股份有限公司,09497109
達運精密工業股份有限公司,23504361
上福全球科技股份有限公司,56625344
金橋科技股份有限公司,04865462
富爾特科技股份有限公司,86616791
亞翔工程股份有限公司,12204275
柏承科技股份有限公司,23750095
友勁科技股份有限公司,22099744
百一電子股份有限公司,89549585
嘉聯益科技股份有限公司,86980046
鈞寶電子工業股份有限公司,22306130
華興電子工業股份有限公司,34168978
浪凡網路科技股份有限公司,04386575
凌華科技股份有限公司,89593343
宏齊科技股份有限公司,89358419
瑞儀光電股份有限公司,22101208
達麗建設事業股份有限公司,04477420
關貿網路股份有限公司,97162640
大豐有線電視股份有限公司,96974228
豐藝電子股份有限公司,22151585
精成科技股份有限公司,81069921
巨路國際股份有限公司,14033663
帆宣系統科技股份有限公司,23145632
佳必琪國際股份有限公司,86701804
亞弘電科技股份有限公司,73710056
盛群半導體股份有限公司,16130330
詮欣股份有限公司,22115625
飛捷科技股份有限公司,21230513
今國光學工業股份有限公司,56654500
聯茂電子股份有限公司,97179403
精誠資訊股份有限公司,97311466
和椿科技股份有限公司,12304443
居易科技股份有限公司,16242320
聚鼎科技股份有限公司,16433242
天瀚科技股份有限公司,16253228
光鼎電子股份有限公司,22601800
尼得科超眾科技股份有限公司,34005476
華孚科技股份有限公司,35383165
力成科技股份有限公司,16082267
迅杰科技股份有限公司,16505809
矽格股份有限公司,23218022
台郡科技股份有限公司,16347324
同欣電子工業股份有限公司,04226986
宏正自動科技股份有限公司,12403422
台灣表面黏著科技股份有限公司,23722471
全國電子股份有限公司,22006252
康舒科技股份有限公司,12341051
淳安電子股份有限公司,89827686
啟碁科技股份有限公司,97331723
悅城科技股份有限公司,27340208
